date,Rockbound Tax-Efficient 2035,Vanguard 2035,S&P 500
2026-03-18,12324.951652674197,11407.235042943877,11103.871495850266
2026-03-19,12231.177652674196,11386.334537720106,11073.996336633301
2026-03-20,11885.975652674197,11202.414078114689,10906.639209769957
2026-03-23,12038.627652674197,11323.6346165943,11032.220741703284
2026-03-24,12022.719292674197,11290.194605509021,10991.031725930252
2026-03-25,12186.757292674198,11382.154436675353,11051.022108674988
2026-03-26,11871.893292674196,11206.594179159443,10858.70710318728
2026-03-27,11758.499292674196,11106.274145903602,10677.442397412888
2026-03-30,11766.401292674198,11093.734640042094,10635.395904223888
2026-03-31,12152.673292674199,11315.274414504793,10946.20430427234
2026-04-01,12293.685292674198,11403.054941899125,11025.086353408438
2026-04-02,12266.075292674197,11394.694739809616,11038.257588271354
2026-04-03,12266.075292674197,,
2026-04-06,12321.947292674198,11428.134750894897,11087.9560395996
2026-04-07,12336.763292674197,11432.314851939649,11096.473550712672
2026-04-08,12702.797292674197,11699.834940621891,11374.791044940484
2026-04-09,12776.053292674196,11716.555344800907,11445.696645339858
2026-04-10,12772.185292674196,11708.1951427114,11433.818968017127
2026-04-13,12883.621292674194,11791.794771788222,11550.139303373022
2026-04-14,13049.095292674196,11879.575299182554,11686.538412125092
2026-04-15,13069.533272340412,11917.195411312588,11780.673721767675
2026-04-16,13096.923721110124,11925.555613402099,11811.518682068967
2026-04-17,13256.864702961562,12042.595253564203,11953.77477269141
2026-04-20,13196.93897828555,12021.695545613185,11925.696058026564
2026-04-21,13021.093938422608,11929.735714446851,11850.02367606736
2026-04-22,13205.651219896557,11996.61573661741,11974.169961127212
2026-04-23,13106.22179372428,11942.27522030836,11924.846656168453
2026-04-24,13267.514517929285,12004.975141434166,12020.42602238399
2026-04-27,13246.87366293513,12000.795040389414,12035.310743795597
2026-04-28,13142.025869858258,11950.635422397869,11976.470026832889
2026-04-29,13115.036612748288,11917.195411312588,11971.71939638877
2026-04-30,13298.253549359004,12038.415152519448,12094.75198860613
2026-05-01,13336.47161394564,12046.775354608957,12130.438612912829
2026-05-04,13286.147135126654,12009.155242478922,12081.882485950375
2026-05-05,13442.372535129336,12088.575567783744,12180.317663080396
2026-05-06,13775.058439472978,12259.955724254898,12358.018845415481
2026-05-07,13625.815142048661,12193.075702084338,12311.10132255615
2026-05-08,13766.574147668647,12259.955724254896,12416.687039096725
2026-05-11,13806.875673488265,12264.13582529965,12441.081096954427
2026-05-12,13704.719967628189,12209.7953089906,12421.56467604167
2026-05-13,13834.024495462905,12264.135825299654,12494.711610816858
2026-05-14,13871.590623602457,12297.575836384933,12590.652174711038
2026-05-15,13541.485111070342,12134.555882003286,12437.344316092032
2026-05-18,13567.626394899491,12147.095387864794,12428.947204205178
2026-05-19,13428.394652984209,12071.855163604725,12346.757112914667
2026-05-20,13642.954688012333,12197.255803129092,12480.300410752254
2026-05-21,13696.7804758618,12234.875915259126,12503.236463346158
2026-05-22,13671.749307591146,12264.13582529965,12550.568042081013
2026-05-25,13671.749307591146,,
2026-05-26,13814.749059810716,12372.816060645002,12628.021451618248
2026-05-27,13775.443674646258,12364.455858555495,12630.231217904262
2026-05-28,13890.32581821283,12406.256071730284,12702.987589335875
2026-05-29,13932.289098123085,12431.335880726056,12731.335733976457
2026-06-01,14093.066655765007,12452.236385949827,12765.728800742965
